cycle,score,loops,geo_010,geo_004,geo_001,geo_013,sci_017
0,7,3,✗✓✓✓,✗✗✗✗,✓✓✓✓,✗✗✗✗,✗✗✗✗
1,6,3,✗✗✓✓,✗✗✗✗,✓✓✓✗,✗✗✗✗,✗✓✗✗
2,6,5,✗✓✓✓,✗✗✗✗,✗✓✓✓,✗✗✗✗,✗✗✗✗
3,7,11,✗✓✗✗,✗✗✗✗,✗✓✓✓,✗✗✗✗,✓✗✓✓
4,13,4,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✗✓,✓✗✗✓
5,13,1,✗✓✓✓,✗✗✗✗,✓✓✓✓,✓✗✓✗,✓✓✓✓
6,11,3,✓✓✗✓,✗✗✗✗,✓✗✓✓,✗✓✓✗,✓✗✓✓
7,15,2,✓✗✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
8,16,1,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
9,15,2,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✗,✓✓✓✓
10,14,2,✓✓✓✓,✗✗✗✗,✓✓✓✓,✗✓✓✓,✓✓✗✓
11,12,4,✗✗✓✓,✗✗✗✗,✗✓✓✓,✓✓✗✓,✓✓✓✓
12,11,5,✓✓✓✓,✗✗✗✗,✓✓✓✓,✗✗✗✗,✓✓✓✗
13,12,5,✓✓✓✓,✗✗✗✗,✓✓✓✓,✗✗✗✓,✓✓✓✗
14,8,10,✗✓✓✗,✗✗✗✗,✗✓✓✓,✗✓✗✓,✓✗✗✗
15,12,4,✓✓✓✓,✗✗✗✗,✓✗✓✓,✓✓✗✓,✗✓✗✓
16,10,6,✓✓✓✗,✗✗✗✗,✓✓✓✓,✓✗✗✓,✗✗✓✗
17,12,5,✓✓✓✓,✗✗✗✗,✗✓✓✓,✓✓✗✓,✗✓✗✓
18,11,7,✗✗✓✓,✗✗✗✗,✓✓✓✓,✓✗✗✓,✗✓✓✓
19,16,2,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
20,13,5,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✗,✗✗✓✓
21,16,3,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
22,13,5,✗✓✗✓,✗✗✗✗,✓✓✓✓,✓✗✓✓,✓✓✓✓
23,13,5,✓✓✓✓,✗✗✗✗,✗✓✓✓,✓✓✗✓,✗✓✓✓
24,15,1,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✗✓,✓✓✓✓
25,14,3,✓✓✓✗,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✗✓✓
26,14,3,✓✓✓✗,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✗✓✓
27,15,2,✓✓✓✗,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
28,15,5,✗✗✓✓,✓✓✗✓,✓✗✓✗,✓✓✓✓,✓✓✓✓
29,19,0,✓✓✓✓,✓✓✗✓,✓✓✓✓,✓✓✓✓,✓✓✓✓
30,18,0,✓✓✓✗,✓✓✗✓,✓✓✓✓,✓✓✓✓,✓✓✓✓
31,16,4,✗✓✓✓,✗✓✓✓,✓✓✓✓,✗✓✓✓,✓✗✓✓
32,14,4,✓✓✗✓,✗✓✗✓,✗✗✓✓,✗✓✓✓,✓✓✓✓
33,15,5,✗✓✗✗,✓✓✓✓,✓✓✗✓,✓✗✓✓,✓✓✓✓
34,12,8,✓✗✗✓,✗✓✗✗,✓✓✗✗,✓✓✗✓,✓✓✓✓
35,15,5,✓✓✓✗,✓✓✓✗,✓✗✓✓,✓✗✗✓,✓✓✓✓
36,16,4,✓✓✓✗,✓✓✓✗,✓✗✓✓,✓✓✗✓,✓✓✓✓
37,17,3,✓✓✓✓,✓✓✓✓,✓✓✓✓,✓✓✗✗,✓✗✓✓
38,16,4,✓✓✓✓,✓✓✗✗,✗✓✓✓,✓✓✓✓,✓✗✓✓
39,15,5,✓✓✓✗,✓✓✓✗,✗✓✓✓,✓✓✗✓,✓✓✓✗
