cycle,score,loops,geo_010,geo_004,geo_001,geo_013,sci_017
0,5,4,✗✗✗✓,✗✗✗✗,✗✓✓✓,✗✗✗✗,✗✗✗✓
1,6,8,✓✗✓✓,✗✗✗✗,✗✓✓✗,✗✗✗✗,✗✗✗✓
2,7,8,✓✗✗✓,✗✗✗✗,✗✗✓✓,✗✗✗✓,✗✓✗✓
3,9,9,✗✗✓✓,✗✗✗✗,✓✓✓✓,✗✗✓✗,✗✓✗✓
4,12,7,✗✗✗✓,✗✗✗✗,✓✓✓✓,✗✓✓✓,✓✓✓✓
5,13,5,✗✗✓✓,✗✗✗✗,✓✓✓✓,✓✗✓✓,✓✓✓✓
6,11,7,✓✓✗✗,✗✗✗✗,✗✓✓✓,✓✓✗✓,✓✗✓✓
7,9,9,✗✓✗✓,✗✗✗✗,✗✓✓✓,✗✗✗✓,✓✗✓✓
8,10,8,✗✗✓✓,✗✗✗✗,✗✓✓✗,✓✓✗✓,✓✓✓✗
9,10,8,✓✓✓✗,✗✗✗✗,✗✓✓✗,✗✓✗✓,✓✓✗✓
10,7,9,✗✗✓✗,✗✗✗✗,✗✓✓✗,✓✗✓✗,✓✗✗✓
11,8,8,✗✗✓✗,✗✗✗✗,✗✓✓✗,✓✗✓✗,✗✓✓✓
12,10,7,✗✓✓✗,✗✗✗✗,✗✗✗✓,✓✓✗✓,✓✓✓✓
13,9,11,✗✗✗✗,✗✗✗✗,✗✓✓✗,✓✓✓✓,✓✓✓✗
14,4,16,✗✗✗✗,✗✗✗✗,✗✗✗✗,✗✗✓✗,✓✓✗✓
15,8,10,✓✓✓✗,✗✗✗✗,✗✗✓✗,✗✓✗✗,✗✓✓✓
16,7,11,✓✗✗✗,✗✗✗✗,✓✓✗✓,✗✗✗✗,✗✓✓✓
17,7,11,✓✗✗✗,✗✗✗✗,✓✓✗✓,✗✗✗✗,✗✓✓✓
18,8,10,✓✗✗✗,✗✗✗✗,✓✓✗✓,✗✗✗✗,✓✓✓✓
19,5,13,✗✗✗✗,✗✗✗✗,✗✗✓✗,✗✗✓✗,✓✗✓✓
20,8,10,✓✗✗✗,✗✗✗✗,✓✓✗✗,✗✗✓✗,✓✓✓✓
21,4,15,✗✓✗✗,✗✗✗✗,✗✗✓✗,✗✗✗✗,✗✓✓✗
22,6,13,✗✗✗✗,✗✗✗✗,✗✗✓✗,✓✗✗✗,✓✓✓✓
23,6,13,✗✗✗✗,✗✗✗✗,✓✓✗✗,✗✗✓✗,✓✗✓✓
24,8,9,✓✗✓✗,✗✗✗✗,✗✓✓✗,✓✗✗✗,✓✓✓✗
25,9,7,✓✓✗✗,✗✗✗✗,✗✓✓✗,✓✓✗✗,✓✓✓✗
26,6,11,✗✓✓✗,✗✗✗✗,✗✗✗✗,✗✗✗✓,✗✓✓✓
27,7,11,✗✗✓✗,✗✗✗✗,✗✗✓✓,✗✗✗✓,✓✓✓✗
28,6,14,✗✗✗✓,✗✗✗✗,✗✗✓✗,✓✗✗✗,✓✓✓✗
29,8,12,✗✗✗✓,✗✗✗✗,✗✗✓✗,✓✗✓✗,✓✓✓✓
30,8,10,✓✗✗✓,✗✗✗✗,✓✗✗✗,✗✗✗✓,✓✓✓✓
31,8,10,✓✗✗✓,✗✗✗✗,✓✗✗✗,✗✗✗✓,✓✓✓✓
32,9,8,✓✗✗✓,✗✗✗✗,✓✗✗✗,✓✗✗✓,✓✓✓✓
33,10,7,✓✓✗✓,✗✗✗✗,✗✗✗✗,✓✓✗✓,✓✓✓✓
34,9,8,✓✗✗✗,✗✗✗✗,✓✓✓✗,✗✓✗✗,✓✓✓✓
35,7,12,✓✗✗✗,✗✗✗✗,✗✓✗✗,✓✓✗✗,✓✓✗✓
36,8,11,✗✗✗✓,✗✗✗✗,✗✗✓✗,✓✗✗✓,✓✓✓✓
37,9,9,✗✗✗✓,✗✗✗✗,✓✗✗✓,✓✗✗✓,✓✓✓✓
38,9,10,✓✗✓✗,✗✗✗✗,✓✗✗✓,✓✓✗✗,✓✗✓✓
39,7,12,✗✗✓✗,✗✗✗✗,✗✗✓✓,✓✗✗✗,✓✓✓✗
