cycle,score,loops,geo_010,geo_004,geo_001,geo_013,sci_017
0,6,2,✗✓✓✗,✗✗✗✗,✗✓✓✓,✗✗✗✗,✗✓✗✗
1,6,5,✗✓✓✗,✗✗✗✗,✓✗✓✗,✗✗✗✓,✗✓✗✗
2,6,4,✓✗✓✓,✗✗✗✗,✗✗✓✓,✗✗✗✓,✗✗✗✗
3,12,2,✓✓✓✓,✗✗✗✗,✓✓✓✓,✗✓✗✓,✓✗✗✓
4,16,1,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
5,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
6,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
7,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
8,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
9,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
10,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
11,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
12,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
13,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
14,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
15,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
16,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
17,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
18,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
19,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
20,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
21,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
22,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
23,17,0,✓✓✓✓,✓✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
24,15,3,✓✓✓✓,✓✗✗✗,✓✓✓✓,✗✓✓✓,✗✓✓✓
25,13,7,✓✓✓✓,✗✗✓✗,✗✓✓✓,✗✓✗✓,✓✓✗✓
26,13,7,✓✗✗✓,✓✗✗✓,✓✓✓✓,✓✗✓✓,✗✓✗✓
27,14,4,✗✓✓✓,✓✓✓✓,✓✓✓✓,✗✗✓✓,✗✓✗✗
28,16,2,✓✓✓✓,✓✓✗✗,✓✓✓✓,✓✓✓✓,✓✓✗✗
29,18,1,✓✓✓✓,✓✓✓✓,✓✓✓✓,✓✓✓✓,✓✓✗✗
30,19,1,✓✓✓✓,✓✓✓✓,✓✓✗✓,✓✓✓✓,✓✓✓✓
31,19,1,✓✓✓✓,✓✓✗✓,✓✓✓✓,✓✓✓✓,✓✓✓✓
32,14,6,✓✗✓✓,✗✓✗✓,✓✓✓✗,✗✓✗✓,✓✓✓✓
33,12,8,✓✓✓✗,✗✗✗✓,✗✓✓✓,✓✓✗✗,✓✗✓✓
34,16,4,✓✓✗✓,✗✓✗✓,✓✓✓✓,✓✗✓✓,✓✓✓✓
35,19,1,✓✗✓✓,✓✓✓✓,✓✓✓✓,✓✓✓✓,✓✓✓✓
36,16,4,✗✓✗✓,✓✓✓✓,✓✓✓✓,✓✗✗✓,✓✓✓✓
37,11,9,✗✓✗✓,✗✗✗✓,✓✓✓✗,✗✓✓✗,✗✓✓✓
38,12,7,✓✗✓✓,✗✗✓✓,✗✓✓✗,✗✓✗✓,✗✓✓✓
39,10,9,✓✓✓✗,✗✓✓✗,✗✗✓✗,✗✓✓✗,✓✗✓✗
